***********************************
You have loaded a Miniforge3 module
***********************************
---------------------------------------------------------------------------------------------------
NOTE: NSC strongly advices against placing 'mamba activate' (or 'conda
activate', with or without
      arguments) or conda initialize commands in your shell initialization
files, (e.g. '.bashrc' or '.bash_profile') since
      this severely alters the environment for running software in ways that
cause unpredictable
      issues that can be difficult to diagnose.
---------------------------------------------------------------------------------------------------

testar
T1 files: 71, T2 files: 71, T2 LR files: 71
71
Train patches: 49, Val patches: 11, Test patches: 11
Number of training batches: 3675
Network initialized
Number of epochs: 500
Using: cuda (SLURM GPUs: 1)
Starting training...
Epoch 204/500, Loss: 0.0002
Epoch 205/500, Loss: 0.0002
Epoch 206/500, Loss: 0.0002
Epoch 207/500, Loss: 0.0002
Epoch 208/500, Loss: 0.0002
Epoch 209/500, Loss: 0.0002
Epoch 210/500, Loss: 0.0002
Epoch 211/500, Loss: 0.0002
Epoch 212/500, Loss: 0.0002
Epoch 213/500, Loss: 0.0002
Epoch 214/500, Loss: 0.0002
Epoch 215/500, Loss: 0.0002
Epoch 216/500, Loss: 0.0002
Epoch 217/500, Loss: 0.0002
Epoch 218/500, Loss: 0.0002
Epoch 219/500, Loss: 0.0002
Epoch 220/500, Loss: 0.0002
Epoch 221/500, Loss: 0.0002
Epoch 222/500, Loss: 0.0002
Epoch 223/500, Loss: 0.0002
Epoch 224/500, Loss: 0.0002
Epoch 225/500, Loss: 0.0002
Epoch 226/500, Loss: 0.0002
Epoch 227/500, Loss: 0.0002
Epoch 228/500, Loss: 0.0002
Epoch 229/500, Loss: 0.0002
Epoch 230/500, Loss: 0.0002
Epoch 231/500, Loss: 0.0002
Epoch 232/500, Loss: 0.0002
Epoch 233/500, Loss: 0.0002
Epoch 234/500, Loss: 0.0002
Epoch 235/500, Loss: 0.0002
Epoch 236/500, Loss: 0.0002
Epoch 237/500, Loss: 0.0002
Epoch 238/500, Loss: 0.0002
Epoch 239/500, Loss: 0.0002
Epoch 240/500, Loss: 0.0002
Epoch 241/500, Loss: 0.0002
Epoch 242/500, Loss: 0.0002
Epoch 243/500, Loss: 0.0002
Epoch 244/500, Loss: 0.0002
Epoch 245/500, Loss: 0.0002
Epoch 246/500, Loss: 0.0002
Epoch 247/500, Loss: 0.0002
Epoch 248/500, Loss: 0.0002
Epoch 249/500, Loss: 0.0002
Epoch 250/500, Loss: 0.0002
Epoch 251/500, Loss: 0.0002
Epoch 252/500, Loss: 0.0002
Epoch 253/500, Loss: 0.0002
Epoch 254/500, Loss: 0.0002
Epoch 255/500, Loss: 0.0002
Epoch 256/500, Loss: 0.0002
Epoch 257/500, Loss: 0.0002
Epoch 258/500, Loss: 0.0002
Epoch 259/500, Loss: 0.0002
Epoch 260/500, Loss: 0.0002
Epoch 261/500, Loss: 0.0002
Epoch 262/500, Loss: 0.0002
Epoch 263/500, Loss: 0.0002
Epoch 264/500, Loss: 0.0002
Epoch 265/500, Loss: 0.0002
Epoch 266/500, Loss: 0.0002
Epoch 267/500, Loss: 0.0002
Epoch 268/500, Loss: 0.0002
Epoch 269/500, Loss: 0.0002
Epoch 270/500, Loss: 0.0002
Epoch 271/500, Loss: 0.0002
Epoch 272/500, Loss: 0.0002
Epoch 273/500, Loss: 0.0002
Epoch 274/500, Loss: 0.0002
Epoch 275/500, Loss: 0.0002
Epoch 276/500, Loss: 0.0002
Epoch 277/500, Loss: 0.0002
Epoch 278/500, Loss: 0.0002
Epoch 279/500, Loss: 0.0002
Epoch 280/500, Loss: 0.0002
Epoch 281/500, Loss: 0.0002
Epoch 282/500, Loss: 0.0002
Epoch 283/500, Loss: 0.0002
Epoch 284/500, Loss: 0.0002
Epoch 285/500, Loss: 0.0002
Epoch 286/500, Loss: 0.0002
Epoch 287/500, Loss: 0.0002
Epoch 288/500, Loss: 0.0002
Epoch 289/500, Loss: 0.0002
Epoch 290/500, Loss: 0.0002
Epoch 291/500, Loss: 0.0002
Epoch 292/500, Loss: 0.0002
Epoch 293/500, Loss: 0.0002
Epoch 294/500, Loss: 0.0002
Epoch 295/500, Loss: 0.0002
Epoch 296/500, Loss: 0.0002
Epoch 297/500, Loss: 0.0002
